Level I,Summer,AGR 101,Fundamentals of Agronomy,2,1
Level I,Summer,CBT 110,Plant Taxonomy and Economic Botany,2,1
Level I,Summer,HRT 105,Fundamental of Horticulture,2,0
Level I,Summer,SSC 101,Introductory Soil Science,2,1
Level I,Summer,GEU 110,Communicative English,2,0
Level I,Autumn,AEC 155,Agricultural Economics,3,0
Level I,Autumn,AER 155,Fundamentals of Agricultural Extension and Rural Developmant,3,1
Level I,Autumn,BMB 135,Chemistry of Biomolecules,2,1
Level I,Autumn,CST 140,Fundamentals of Computer Science,2,1
Level I,Winter,AGR 175,Fundamentals of Cereal Crop Production,3,1
Level I,Winter,ENT 175,Insect Morphology,2,1
Level I,Winter,AGE 180,Farm Mechanics,3,1
Level I,Winter,GPB 195,Cytology,2,1
Level II,Summer,BMB 230,Metabolism of Biomolecules,3,1
Level II,Summer,PLP 212,Fundamentals of Plant Pathology,3,1
Level II,Summer,SSC 225,Soil Survey Classification and Conservation,2,1
Level II,Summer,CBT 230,Plant Anatomy and Embryology,2,1
Level II,Summer,ENT 230,Insect Taxonomy and Systematics,3,1
Level II,Autumn,CBT 250,Plant Physiology,3,1
Level II,Autumn,HRT 255,Vegetables and Spices Production,3,1
Level II,Autumn,ENT 260,Insect Ecology,2,1
Level II,Autumn,AGR 255,Agro-Climatology,2,1
Level II,Autumn,GPB 235,Elementary Genetics Evolution and Biodiversity,3,1
Level II,Winter,AER 265,Rural Sociology and Educational Psychology,2,0
Level II,Winter,AGR 280,Seed Science and Technology,3,1
Level II,Winter,STT 270,Basic Statistics,3,1
Level II,Winter,HRT 280,Fruit and Plantation Crop Production,3,1
Level II,Winter,PLP 290,Principles of Plant Pathology,2,1
Level III,Summer,GPB 310,Introductory Cytogenetics ,2,1
Level III,Summer,AFE 301,Fundamentals of Agroforestry and Environment,3,1
Level III,Summer,AER 301,Management of Agricultural Extension and Organization,3,1
Level III,Summer,AGP 330,Fundamentals of Food and Agro-Processing,2,0
Level III,Summer,CST 310,Information and Communication Technology,3,1
Level III,Autumn,GPB 355,Principles of Plant Breeding,3,1
Level III,Autumn,AFE 350,Silviculture,2,1
Level III,Autumn,PLP 340,Diseases of Field Crops,3,1
Level III,Autumn,SSC 355,Soil Physics,3,1
Level III,Autumn,ENS 355,Environmental Degradation and Management,2,0
Level III,Winter,HRT 370,Floriculture and Landscape Horticulture,3,1
Level III,Winter,AGR 375,Production of Pulses Oilseeds and Industrial Crops,3,1
Level III,Winter,ENT 370,Economic Entomology,3,1
Level III,Winter,SSC 36,Soil Chemistry and Fertility,3,1
Level III,Winter,PLP 390,Diseases of Horticultural and Plantation Crops,3,1
Level IV,Summer,HRT 415,Propagation and Nursery Management,3,1
Level IV,Summer,AER 425,Communication and Technology Transfer,3,1
Level IV,Summer,ENT 430,Insect Pest Management,3,1
Level IV,Summer,FEU 410,Career Planning and Development,2,0
Level IV,Summer,BTL 410,Introductory Biotechnology,3,1
Level IV,Summer,SSC 425,Agricultural and Agro-Industrial Chemistry,2,1
Level IV,Autumn,AGR 455,Irrigation and Farm Management,3,1
Level IV,Autumn,CBT 455,Plant Ecology,3,1
Level IV,Autumn,PLP 450,Post-Harvest Pathology,2,1
Level IV,Autumn,SSC 440,Soil Microbiology,3,1
Level IV,Autumn,GPB 460,Methods of Plant Breeding,3,1
Level IV,Winter,INT,Internship,0,7
